CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,49,68,86
2,Female,56,22,57
3,Male,66,41,29
4,Male,69,41,78
5,Male,49,112,92
6,Female,21,35,69
7,Male,47,44,47
8,Male,54,111,94
9,Male,40,42,62
10,Female,56,125,69
11,Male,62,78,76
12,Male,32,111,16
13,Male,60,83,90
14,Male,46,138,90
15,Female,53,75,48
16,Male,30,62,85
17,Female,49,33,39
18,Female,24,18,100
19,Female,68,49,33
20,Male,39,78,94
21,Female,45,63,23
22,Male,19,31,10
23,Female,59,58,69
24,Female,62,106,100
25,Female,23,44,34
26,Female,45,107,52
27,Female,45,60,95
28,Female,61,131,10
29,Female,61,20,19
30,Female,37,113,58
31,Male,47,138,96
32,Male,28,119,1
33,Female,45,51,69
34,Female,42,38,4
35,Female,56,107,16
36,Male,50,127,24
37,Female,18,60,80
38,Male,44,67,2
39,Male,69,109,92
40,Male,30,113,32
41,Male,58,74,91
42,Male,20,111,84
43,Female,56,130,24
44,Female,23,77,12
45,Female,25,139,50
46,Female,44,99,35
47,Female,26,46,33
48,Male,54,101,33
49,Female,50,47,61
50,Female,68,81,51
51,Male,59,32,43
52,Female,61,39,12
53,Male,41,120,67
54,Female,32,109,65
55,Male,49,68,33
56,Female,49,72,40
57,Female,41,81,74
58,Male,58,118,43
59,Male,69,60,44
60,Male,66,38,29
61,Male,66,128,13
62,Male,69,46,12
63,Male,29,61,95
64,Male,56,100,46
65,Male,19,37,2
66,Female,20,80,35
67,Female,66,41,87
68,Male,54,120,81
69,Female,66,16,90
70,Female,34,104,8
71,Female,66,31,93
72,Female,19,118,26
73,Male,19,47,74
74,Female,45,23,90
75,Male,40,57,34
76,Female,54,132,7
77,Female,49,62,68
78,Female,50,53,58
79,Male,18,107,75
80,Female,36,56,29
81,Male,19,133,36
82,Female,61,40,89
83,Male,43,113,21
84,Female,49,64,36
85,Male,23,39,10
86,Male,49,38,73
87,Female,21,27,24
88,Male,28,74,64
89,Female,34,136,99
90,Female,55,21,49
91,Female,41,71,99
92,Female,22,50,36
93,Female,69,59,82
94,Female,51,34,96
95,Female,23,79,24
96,Female,39,22,23
97,Female,28,124,62
98,Female,65,30,96
99,Female,33,28,37
100,Male,50,90,12
101,Male,26,129,55
102,Female,23,101,13
103,Female,33,29,23
104,Female,46,106,89
105,Female,20,112,99
106,Female,37,80,30
107,Female,53,46,17
108,Female,36,101,62
109,Female,43,77,84
110,Male,20,100,89
111,Female,36,65,86
112,Male,37,39,13
113,Female,49,72,59
114,Female,24,77,19
115,Male,69,76,49
116,Female,58,139,100
117,Male,50,36,12
118,Female,57,72,61
119,Female,56,72,19
120,Male,35,100,76
121,Female,57,63,9
122,Male,18,66,71
123,Female,28,56,28
124,Male,45,84,78
125,Male,42,29,95
126,Female,67,68,52
127,Female,40,121,83
128,Male,48,74,16
129,Female,47,115,69
130,Female,59,111,99
131,Female,52,22,12
132,Male,24,67,25
133,Male,33,74,52
134,Male,43,122,85
135,Male,65,122,100
136,Male,69,19,53
137,Male,66,117,23
138,Male,19,82,16
139,Male,18,20,57
140,Male,65,123,39
141,Female,29,110,53
142,Male,22,130,42
143,Female,54,108,58
144,Female,49,61,39
145,Female,26,113,14
146,Male,58,69,95
147,Male,52,54,5
148,Male,36,66,35
149,Male,65,30,87
150,Female,33,27,93
151,Male,20,128,75
152,Male,37,138,18
153,Male,41,120,76
154,Male,50,44,9
155,Male,41,33,74
156,Female,69,31,58
157,Male,28,134,17
158,Female,66,77,7
159,Male,25,33,46
160,Female,53,106,13
161,Male,55,72,40
162,Male,57,69,42
163,Female,37,104,9
164,Female,52,115,50
165,Female,65,104,27
166,Male,42,131,66
167,Female,52,76,5
168,Male,42,37,29
169,Male,46,23,37
170,Female,35,26,38
171,Female,63,131,83
172,Male,35,15,8
173,Male,19,72,65
174,Female,52,136,86
175,Female,33,15,17
176,Female,58,125,71
177,Male,53,48,89
178,Male,50,110,45
179,Male,21,132,4
180,Male,50,62,36
181,Male,31,103,70
182,Male,38,118,31
183,Female,65,123,19
184,Male,37,131,61
185,Male,25,15,54
186,Male,24,30,39
187,Female,20,75,91
188,Male,34,117,74
189,Male,50,78,90
190,Female,65,77,19
191,Male,29,83,39
192,Male,68,36,67
193,Male,39,107,45
194,Male,39,133,13
195,Male,63,81,92
196,Female,47,90,58
197,Female,55,40,20
198,Female,55,30,92
199,Male,62,65,72
200,Male,68,115,61
